ticker,level,timeframe,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth,momentum
OXY,HIGH,weekly,SHORT,2023-02-27,56.3967768575673,2023-04-03,60.90851900617269,STOP,-8.000000000000004,32,0.26465956976934957,-0.1341182157050097
FTV,HIGH,weekly,SHORT,2025-04-07,47.1685976593731,2025-04-21,50.94208547212295,STOP,-8.000000000000004,14,0.2540336913527696,-0.04212043958800249
AIZ,HIGH,weekly,SHORT,2021-12-27,141.4046213197592,2022-02-07,152.71699102533995,STOP,-8.00000000000001,13,0.263939433759644,-0.061708606017361056
BALL,HIGH,weekly,SHORT,2022-05-09,67.00840921445389,2022-08-01,53.60672737156312,TARGET,19.999999999999993,21,0.3220922505465481,-0.1317352567369664
ROP,HIGH,weekly,SHORT,2025-01-13,496.19006091220166,2025-01-27,535.8852657851778,STOP,-8.000000000000004,43,0.3141706305586528,-0.06561734700775024
CME,HIGH,weekly,SHORT,2024-06-24,185.4363934683596,2024-08-26,200.27130494582838,STOP,-8.000000000000005,28,0.280347255652906,-0.07570365079369867
UDR,HIGH,weekly,SHORT,2022-05-16,41.74827465454621,2022-10-03,33.39861972363697,TARGET,19.999999999999993,15,0.26868427244068815,-0.08842247868989439
KIM,HIGH,weekly,SHORT,2022-06-20,16.262568805047216,2022-06-27,17.563574309450996,STOP,-8.00000000000001,48,0.35909341353681795,-0.1402997044188693
MCHP,HIGH,weekly,SHORT,2024-08-12,73.08550689228382,2024-08-19,78.93234744366653,STOP,-8.00000000000001,22,0.2705638052993059,-0.17174726309064492
VRTX,HIGH,weekly,SHORT,2024-12-30,404.5400085449219,2025-01-20,436.90320922851566,STOP,-8.00000000000001,14,0.29922036395482315,-0.14174303313393533
PYPL,HIGH,weekly,SHORT,2023-05-22,60.809423943744534,2023-06-12,65.6741778592441,STOP,-8.0,16,0.26351087647084204,-0.17372091470210893
PATH,HIGH,weekly,SHORT,2025-03-31,10.359999656677246,2025-04-07,11.188799629211427,STOP,-8.000000000000016,22,0.25129708148447744,-0.16071426059254124
PNC,HIGH,weekly,SHORT,2023-03-20,111.87033163933113,2023-07-17,120.81995817047762,STOP,-8.000000000000002,29,0.34764652790783646,-0.07979499602614681
SEDG,HIGH,weekly,SHORT,2023-08-07,183.0,2023-09-04,146.4,TARGET,19.999999999999996,21,0.33778668825471875,-0.1929173405241047
JD,HIGH,weekly,SHORT,2022-10-17,41.165727299384486,2022-10-24,32.93258183950759,TARGET,19.999999999999993,18,0.2764516830998928,-0.1717557934974775
IDXX,HIGH,weekly,SHORT,2022-01-17,514.5999755859375,2022-01-31,555.7679736328125,STOP,-8.000000000000005,11,0.27279498823023884,-0.13359054295773576
TROW,HIGH,weekly,SHORT,2024-09-09,95.59882340917409,2024-09-16,103.24672928190802,STOP,-8.000000000000004,19,0.271610422908066,-0.07243510441072498
BIO,HIGH,weekly,SHORT,2025-02-24,280.0799865722656,2025-03-31,224.06398925781252,TARGET,19.999999999999993,14,0.27167284908125655,-0.16746267575841323
SYY,HIGH,weekly,SHORT,2022-10-03,65.03216833301339,2022-10-17,70.23474179965446,STOP,-7.999999999999999,22,0.26362958454398894,-0.1270522050080103
IVZ,HIGH,weekly,SHORT,2025-03-24,15.034101040956473,2025-03-31,12.027280832765179,TARGET,20.0,18,0.28075175166076044,-0.10836888265826305
TXN,HIGH,weekly,SHORT,2022-02-21,147.46914438310068,2022-03-14,159.26667593374876,STOP,-8.000000000000012,32,0.26390963846705134,-0.15203576294437915
BBWI,HIGH,weekly,SHORT,2023-10-16,28.54330359844384,2023-11-13,30.82676788631935,STOP,-8.00000000000001,16,0.25934879769132113,-0.08291535103400038
CVX,HIGH,weekly,SHORT,2024-08-26,139.567225831313,2024-11-11,150.73260389781805,STOP,-8.0,11,0.2642862430056162,-0.06643418918205046
MAR,HIGH,weekly,SHORT,2022-07-04,131.3225324255712,2022-07-18,141.82833501961693,STOP,-8.000000000000016,25,0.2757716232864088,-0.19595528542124685
LABU,HIGH,weekly,SHORT,2024-12-30,90.06932187755962,2025-01-06,97.2748676277644,STOP,-8.000000000000009,16,0.29109524754054455,-0.25748502265711937
CPRT,HIGH,weekly,SHORT,2022-01-24,31.30500030517578,2022-08-22,30.592500686645508,TIME,2.2759930093738827,13,0.3171928123389847,-0.10218688593947767
ISRG,HIGH,weekly,SHORT,2022-01-24,264.6199951171875,2022-01-31,285.78959472656254,STOP,-8.000000000000016,10,0.32513005782621,-0.09891075154006457
AVB,HIGH,weekly,SHORT,2022-05-16,181.8495431405054,2022-10-31,145.47963451240432,TARGET,20.000000000000004,14,0.2826510427005221,-0.11187117964805782
JBHT,HIGH,weekly,SHORT,2022-04-25,162.62506821837724,2022-07-25,175.63507367584742,STOP,-8.000000000000004,11,0.25806829077226207,-0.13364088954999764
OMC,HIGH,weekly,SHORT,2023-08-07,75.4274680164645,2023-12-11,81.46166545778166,STOP,-8.000000000000002,13,0.2682403414250502,-0.07338054383916315
CF,HIGH,weekly,SHORT,2025-03-17,74.81056978343726,2025-05-05,80.79541536611225,STOP,-8.000000000000016,12,0.26203429609929824,-0.13289003042386727
GEHC,HIGH,weekly,SHORT,2023-08-21,69.04321888093448,2023-12-11,74.56667639140923,STOP,-7.999999999999997,10,0.29298718580085764,-0.09700805583637939
YUM,HIGH,weekly,SHORT,2023-09-11,120.70013202533165,2024-02-19,130.3561425873582,STOP,-8.000000000000004,13,0.2577250728515521,-0.028477047218198215
AAL,HIGH,weekly,SHORT,2024-06-10,11.430000305175781,2024-08-05,9.144000244140626,TARGET,19.99999999999999,10,0.2732503755270035,-0.21662126969129536
